TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2020,7,12,21,0,6XX RICHARDS ST,Central Business District,491645.4025,5458827.9223
Mischief,2020,8,29,19,30,6XX RICHARDS ST,Central Business District,491645.4025,5458827.9223
Mischief,2020,10,2,6,58,6XX RICHARDS ST,Central Business District,491645.4025,5458827.9223
Mischief,2020,11,1,18,46,6XX RICHARDS ST,Central Business District,491645.4025,5458827.9223
Mischief,2020,11,3,11,0,6XX RICHARDS ST,Central Business District,491645.4025,5458827.9223
Mischief,2020,12,30,16,2,6XX RICHARDS ST,Central Business District,491645.4025,5458827.9223
Mischief,2020,3,6,19,45,6XX RICHARDS ST,Central Business District,491647.0023,5458829.5438
Mischief,2020,3,7,1,0,6XX RICHARDS ST,Central Business District,491647.0023,5458829.5438
Mischief,2020,3,23,13,0,6XX RICHARDS ST,Central Business District,491647.0023,5458829.5438
Mischief,2020,3,9,12,25,6XX RICHARDS ST,Central Business District,491672.8153,5458842.68
Mischief,2020,4,10,0,54,6XX RICHARDS ST,Central Business District,491672.8153,5458842.68
Mischief,2020,1,8,22,40,6XX RICHARDS ST,Central Business District,491675.3442,5458845.2428
Mischief,2020,7,30,5,7,6XX ROBSON ST,Central Business District,491304.9847,5458729.632
Mischief,2020,9,11,7,0,6XX ROBSON ST,Central Business District,491343.0075,5458692.6379
Mischief,2020,9,18,20,50,6XX ROBSON ST,Central Business District,491352.9264,5458670.2294
Mischief,2020,4,19,2,54,6XX SALSBURY DR,Grandview-Woodland,495024.524,5458440.738
Mischief,2020,2,3,20,4,6XX SALSBURY DR,Grandview-Woodland,495034.6719,5458507.7952
Mischief,2020,7,6,21,13,6XX SE MARINE DR,Sunset,493340.0016,5450908.859
Mischief,2020,1,26,6,3,6XX SE MARINE DR,Sunset,493348.7346,5450928.7935
Mischief,2020,2,4,3,0,6XX SEMLIN DR,Grandview-Woodland,495371.6861,5458473.4443
Mischief,2020,5,20,0,0,6XX SEYMOUR ST,Central Business District,491516.4157,5458822.1336
Mischief,2020,7,30,23,30,6XX SEYMOUR ST,Central Business District,491521.0626,5458826.8435
Mischief,2020,4,2,8,30,6XX SEYMOUR ST,Central Business District,491523.3861,5458829.1984
Mischief,2020,10,4,10,1,6XX SEYMOUR ST,Central Business District,491523.3861,5458829.1984
Mischief,2020,10,7,14,5,6XX SEYMOUR ST,Central Business District,491523.3861,5458829.1984
Mischief,2020,10,11,11,45,6XX SEYMOUR ST,Central Business District,491574.0404,5458880.5332
Mischief,2020,7,16,6,29,6XX SEYMOUR ST,Central Business District,491580.5061,5458887.0877
Mischief,2020,11,8,18,14,6XX SEYMOUR ST,Central Business District,491609.0732,5458916.0522
Mischief,2020,12,22,11,22,6XX SEYMOUR ST,Central Business District,491609.0732,5458916.0522
Mischief,2020,1,13,20,41,6XX SEYMOUR ST,Central Business District,491609.751,5458916.7392
Mischief,2020,4,20,10,53,6XX TERMINAL AVE,Strathcona,493469.4046,5457579.6165
Mischief,2020,9,6,19,0,6XX UNION ST,Strathcona,493419.7386,5458303.6174
Mischief,2020,9,6,19,0,6XX VICTORIA DR,Grandview-Woodland,495223.7514,5458459.0564
Mischief,2020,7,19,0,1,6XX W 14TH AVE,Fairview,491323.5761,5456239.7348
Mischief,2020,6,25,0,0,6XX W 17TH AVE,South Cambie,491292.3775,5455927.7889
Mischief,2020,4,15,23,0,6XX W 19TH AVE,South Cambie,491282.8868,5455735.4147
Mischief,2020,11,26,5,30,6XX W 24TH AVE,South Cambie,491377.9741,5455253.7263
Mischief,2020,11,4,2,0,6XX W 26TH AVE,South Cambie,491371.1012,5455027.5131
Mischief,2020,1,5,21,0,6XX W 27TH AVE,South Cambie,491280.8271,5454926.7661
Mischief,2020,6,19,18,0,6XX W 27TH AVE,South Cambie,491280.8271,5454926.7661
Mischief,2020,4,14,0,1,6XX W 30TH AVE,South Cambie,491259.9153,5454620.5973
Mischief,2020,4,13,18,30,6XX W 30TH AVE,South Cambie,491311.8831,5454619.7432
Mischief,2020,8,3,11,3,6XX W 49TH AVE,Oakridge,491228.8685,5452608.4967
Mischief,2020,1,8,13,31,6XX W 50TH AVE,Oakridge,491393.5219,5452500.4868
Mischief,2020,12,7,22,40,6XX W 6TH AVE,Fairview,491336.7004,5457013.7184
Mischief,2020,9,23,6,0,6XX W 7TH AVE,Fairview,491330.003,5456932.2095
Mischief,2020,12,24,23,40,6XX W 7TH AVE,Fairview,491330.003,5456932.2095
Mischief,2020,12,24,21,0,6XX W 7TH AVE,Fairview,491345.8058,5456931.6773
Mischief,2020,2,28,3,0,6XX W 7TH AVE,Fairview,491354.9797,5456922.2192
Mischief,2020,12,24,22,0,6XX W 7TH AVE,Fairview,491358.4481,5456931.2515
Mischief,2020,4,12,7,19,6XX W 7TH AVE,Fairview,491446.6363,5456919.1324
Mischief,2020,12,22,0,0,6XX W 8TH AVE,Fairview,491360.2311,5456837.4692
Mischief,2020,5,1,23,0,6XX W 8TH AVE,Fairview,491442.3387,5456835.2327
Mischief,2020,11,13,18,46,6XX W BROADWAY AV,Fairview,491444.2989,5456722.9693
Mischief,2020,8,19,3,30,6XX W BROADWAY AVE,Fairview,491281.9536,5456727.8637
Mischief,2020,5,12,0,2,6XX W BROADWAY AVE,Fairview,491310.7851,5456726.9944
Mischief,2020,2,28,17,30,6XX W BROADWAY AVE,Fairview,491339.6104,5456735.2735
Mischief,2020,4,2,17,37,6XX W BROADWAY AVE,Fairview,491339.6104,5456735.2735
Mischief,2020,9,30,15,45,6XX W BROADWAY AVE,Fairview,491339.6104,5456735.2735
Mischief,2020,10,25,15,53,6XX W BROADWAY AVE,Fairview,491339.6104,5456735.2735
Mischief,2020,2,1,19,0,6XX W BROADWAY AVE,Fairview,491441.1205,5456732.213
Mischief,2020,4,25,14,48,6XX W CORDOVA ST,Central Business District,491858.8559,5459181.3005
Mischief,2020,10,8,3,30,6XX W CORDOVA ST,Central Business District,491858.8559,5459181.3005
Mischief,2020,1,17,9,14,6XX W CORDOVA ST,Central Business District,491865.2415,5459187.8455
Mischief,2020,1,18,20,2,6XX W CORDOVA ST,Central Business District,491865.2415,5459187.8455
Mischief,2020,6,9,14,42,6XX W CORDOVA ST,Central Business District,491865.2415,5459187.8455
Mischief,2020,10,3,12,0,6XX W CORDOVA ST,Central Business District,491865.2415,5459187.8455
Mischief,2020,1,9,14,35,6XX W GEORGIA ST,Central Business District,491439.7827,5458826.841
Mischief,2020,1,27,20,59,6XX W GEORGIA ST,Central Business District,491439.7827,5458826.841
Mischief,2020,2,1,23,2,6XX W GEORGIA ST,Central Business District,491439.7827,5458826.841
